GP,Compound,TyreLife,deg_delta,n_samples
Monaco Grand Prix,SOFT,29,0.279,19
Monaco Grand Prix,SOFT,30,0.3225,18
Monaco Grand Prix,SOFT,31,0.332,16
Monaco Grand Prix,SOFT,32,0.217,16
Monaco Grand Prix,SOFT,33,0.092,13
Monaco Grand Prix,SOFT,34,0.02,13
Monaco Grand Prix,SOFT,35,-0.089,11
Monaco Grand Prix,SOFT,36,-0.209,8
Monaco Grand Prix,SOFT,37,0.1905,6
Monaco Grand Prix,SOFT,38,0.207,5
Monaco Grand Prix,SOFT,39,0.2325,4
Monaco Grand Prix,SOFT,40,1.141,3
Monaco Grand Prix,SOFT,41,0.23,3
Portuguese Grand Prix,HARD,2,0.0,17
Portuguese Grand Prix,HARD,3,-0.177,21
Portuguese Grand Prix,HARD,4,-0.155,23
Portuguese Grand Prix,HARD,5,-0.224,24
Portuguese Grand Prix,HARD,6,-0.192,23
Portuguese Grand Prix,HARD,7,-0.212,22
Portuguese Grand Prix,HARD,8,-0.0725,24
Portuguese Grand Prix,HARD,9,-0.02,25
Portuguese Grand Prix,HARD,10,-0.2035,24
Portuguese Grand Prix,HARD,11,-0.035,24
Portuguese Grand Prix,HARD,12,0.0405,22
Portuguese Grand Prix,HARD,13,0.063,24
Portuguese Grand Prix,HARD,14,0.3195,22
Portuguese Grand Prix,HARD,15,0.058,21
Portuguese Grand Prix,HARD,16,0.241,23
Portuguese Grand Prix,HARD,17,0.266,23
Portuguese Grand Prix,HARD,18,0.135,23
Portuguese Grand Prix,HARD,19,0.084,22
Portuguese Grand Prix,HARD,20,0.445,22
Portuguese Grand Prix,HARD,21,0.274,23
Portuguese Grand Prix,HARD,22,0.521,23
Portuguese Grand Prix,HARD,23,0.654,23
Portuguese Grand Prix,HARD,24,0.504,23
Portuguese Grand Prix,HARD,25,0.442,21
Portuguese Grand Prix,HARD,26,0.435,19
Portuguese Grand Prix,HARD,27,0.6435,18
Portuguese Grand Prix,HARD,28,0.6715,16
Portuguese Grand Prix,HARD,29,0.511,16
Portuguese Grand Prix,HARD,30,0.61,13
Portuguese Grand Prix,HARD,31,0.747,11
Portuguese Grand Prix,HARD,32,0.544,12
Portuguese Grand Prix,HARD,33,0.616,9
Portuguese Grand Prix,HARD,34,0.183,9
Portuguese Grand Prix,HARD,35,0.5735,10
Portuguese Grand Prix,HARD,36,0.851,9
Portuguese Grand Prix,HARD,37,0.637,9
Portuguese Grand Prix,HARD,38,0.222,7
Portuguese Grand Prix,HARD,39,0.7145,6
Portuguese Grand Prix,HARD,40,1.225,6
Portuguese Grand Prix,HARD,41,1.835,4
Portuguese Grand Prix,HARD,42,0.575,3
Portuguese Grand Prix,HARD,43,0.904,3
Portuguese Grand Prix,MEDIUM,2,0.0,13
Portuguese Grand Prix,MEDIUM,3,0.028,13
Portuguese Grand Prix,MEDIUM,4,0.03,13
Portuguese Grand Prix,MEDIUM,5,0.0,18
Portuguese Grand Prix,MEDIUM,6,0.122,19
Portuguese Grand Prix,MEDIUM,7,0.018,20
Portuguese Grand Prix,MEDIUM,8,0.1205,22
Portuguese Grand Prix,MEDIUM,9,0.071,25
Portuguese Grand Prix,MEDIUM,10,0.0,28
Portuguese Grand Prix,MEDIUM,11,-0.0665,32
Portuguese Grand Prix,MEDIUM,12,-0.0915,34
Portuguese Grand Prix,MEDIUM,13,-0.0655,32
Portuguese Grand Prix,MEDIUM,14,-0.144,32
Portuguese Grand Prix,MEDIUM,15,0.086,38
Portuguese Grand Prix,MEDIUM,16,0.165,35
Portuguese Grand Prix,MEDIUM,17,0.041,37
Portuguese Grand Prix,MEDIUM,18,-0.2,35
Portuguese Grand Prix,MEDIUM,19,-0.024,37
Portuguese Grand Prix,MEDIUM,20,0.1035,36
Portuguese Grand Prix,MEDIUM,21,0.124,35
Portuguese Grand Prix,MEDIUM,22,0.18,33
Portuguese Grand Prix,MEDIUM,23,0.2265,30
Portuguese Grand Prix,MEDIUM,24,0.41,31
Portuguese Grand Prix,MEDIUM,25,0.314,30
Portuguese Grand Prix,MEDIUM,26,0.122,28
Portuguese Grand Prix,MEDIUM,27,-0.0585,26
Portuguese Grand Prix,MEDIUM,28,-0.241,26
Portuguese Grand Prix,MEDIUM,29,-0.168,27
Portuguese Grand Prix,MEDIUM,30,-0.094,26
Portuguese Grand Prix,MEDIUM,31,0.164,24
Portuguese Grand Prix,MEDIUM,32,0.0185,22
Portuguese Grand Prix,MEDIUM,33,-0.0165,22
Portuguese Grand Prix,MEDIUM,34,0.245,21
Portuguese Grand Prix,MEDIUM,35,0.308,21
Portuguese Grand Prix,MEDIUM,36,0.102,20
Portuguese Grand Prix,MEDIUM,37,0.2885,20
Portuguese Grand Prix,MEDIUM,38,0.364,19
Portuguese Grand Prix,MEDIUM,39,0.2105,18
Portuguese Grand Prix,MEDIUM,40,0.3225,14
Portuguese Grand Prix,MEDIUM,41,0.909,12
Portuguese Grand Prix,MEDIUM,42,0.661,12
Portuguese Grand Prix,MEDIUM,43,0.56,11
Portuguese Grand Prix,MEDIUM,44,0.776,7
Portuguese Grand Prix,MEDIUM,45,0.647,5
Portuguese Grand Prix,SOFT,3,0.0,4
Portuguese Grand Prix,SOFT,4,0.0,5
Portuguese Grand Prix,SOFT,5,-0.072,6
Portuguese Grand Prix,SOFT,6,0.1555,6
Portuguese Grand Prix,SOFT,7,-0.04,9
Portuguese Grand Prix,SOFT,8,-0.0505,10
Portuguese Grand Prix,SOFT,9,0.0655,12
Portuguese Grand Prix,SOFT,10,0.115,13
Portuguese Grand Prix,SOFT,11,0.053,12
Portuguese Grand Prix,SOFT,12,0.0,15
Portuguese Grand Prix,SOFT,13,0.057,14
Portuguese Grand Prix,SOFT,14,-0.031,17
Portuguese Grand Prix,SOFT,15,-0.0285,16
Portuguese Grand Prix,SOFT,16,-0.0585,14
Portuguese Grand Prix,SOFT,17,-0.519,13
Portuguese Grand Prix,SOFT,18,-0.061,15
Portuguese Grand Prix,SOFT,19,0.015,13
Portuguese Grand Prix,SOFT,20,0.049,13
Portuguese Grand Prix,SOFT,21,0.2925,14
Portuguese Grand Prix,SOFT,22,0.029,11
Portuguese Grand Prix,SOFT,23,-0.164,11
Portuguese Grand Prix,SOFT,24,-0.024,9
Portuguese Grand Prix,SOFT,25,-0.0385,6
Portuguese Grand Prix,SOFT,26,-0.31,5
Portuguese Grand Prix,SOFT,27,-0.1575,4
Portuguese Grand Prix,SOFT,28,0.054,3
Portuguese Grand Prix,SOFT,29,0.206,3
Portuguese Grand Prix,SOFT,30,0.308,3
Qatar Grand Prix,HARD,2,0.0,33
Qatar Grand Prix,HARD,3,-0.023,33
Qatar Grand Prix,HARD,4,-0.2225,36
Qatar Grand Prix,HARD,5,-0.1405,36
Qatar Grand Prix,HARD,6,-0.1305,36
Qatar Grand Prix,HARD,7,-0.042,37
Qatar Grand Prix,HARD,8,0.0,42
Qatar Grand Prix,HARD,9,-0.003,44
Qatar Grand Prix,HARD,10,-0.158,43
Qatar Grand Prix,HARD,11,-0.104,44
Qatar Grand Prix,HARD,12,-0.164,43
Qatar Grand Prix,HARD,13,-0.07,41
Qatar Grand Prix,HARD,14,-0.045,37
Qatar Grand Prix,HARD,15,-0.129,38
Qatar Grand Prix,HARD,16,-0.1835,36
Qatar Grand Prix,HARD,17,-0.23,34
Qatar Grand Prix,HARD,18,-0.4335,22
Qatar Grand Prix,HARD,19,-0.3165,22
Qatar Grand Prix,HARD,20,-0.2265,20
Qatar Grand Prix,HARD,21,-0.29,22
Qatar Grand Prix,HARD,22,-0.264,21
Qatar Grand Prix,HARD,23,-0.013,15
Qatar Grand Prix,HARD,24,-0.176,9
Qatar Grand Prix,HARD,25,0.127,9
Qatar Grand Prix,HARD,26,0.392,11
Qatar Grand Prix,HARD,27,0.335,7
Qatar Grand Prix,HARD,28,0.5585,6
Qatar Grand Prix,HARD,29,0.58,7
Qatar Grand Prix,HARD,30,0.531,7
Qatar Grand Prix,MEDIUM,2,0.0,16
Qatar Grand Prix,MEDIUM,3,0.0,18
Qatar Grand Prix,MEDIUM,4,-0.1965,16
Qatar Grand Prix,MEDIUM,5,-0.068,22
Qatar Grand Prix,MEDIUM,6,0.0,26
Qatar Grand Prix,MEDIUM,7,0.0,36
Qatar Grand Prix,MEDIUM,8,-0.147,41
Qatar Grand Prix,MEDIUM,9,-0.102,47
Qatar Grand Prix,MEDIUM,10,-0.223,42
Qatar Grand Prix,MEDIUM,11,0.002,42
Qatar Grand Prix,MEDIUM,12,-0.0045,50
Qatar Grand Prix,MEDIUM,13,-0.032,46
Qatar Grand Prix,MEDIUM,14,-0.231,43
Qatar Grand Prix,MEDIUM,15,-0.209,43
Qatar Grand Prix,MEDIUM,16,-0.285,41
Qatar Grand Prix,MEDIUM,17,-0.2305,40
Qatar Grand Prix,MEDIUM,18,-0.368,37
Qatar Grand Prix,MEDIUM,19,-0.385,36
Qatar Grand Prix,MEDIUM,20,-0.673,22
Qatar Grand Prix,MEDIUM,21,-0.775,21
Qatar Grand Prix,MEDIUM,22,-0.728,21
Qatar Grand Prix,MEDIUM,23,-0.8085,20
Qatar Grand Prix,MEDIUM,24,-0.66,17
Qatar Grand Prix,MEDIUM,25,-0.8035,18
Qatar Grand Prix,MEDIUM,26,-0.689,19
Qatar Grand Prix,MEDIUM,27,-0.684,17
Qatar Grand Prix,MEDIUM,28,-0.7405,16
Qatar Grand Prix,MEDIUM,29,-0.78,15
Qatar Grand Prix,MEDIUM,30,-0.8055,16
Qatar Grand Prix,MEDIUM,31,-0.821,15
Qatar Grand Prix,MEDIUM,32,-0.877,15
Qatar Grand Prix,MEDIUM,33,-0.697,14
Qatar Grand Prix,MEDIUM,34,-0.231,12
Qatar Grand Prix,SOFT,5,-0.33,3
Qatar Grand Prix,SOFT,6,-0.701,3
Qatar Grand Prix,SOFT,7,-0.864,3
Qatar Grand Prix,SOFT,8,-0.397,4
Qatar Grand Prix,SOFT,9,-0.5775,4
Qatar Grand Prix,SOFT,10,-0.2225,4
Qatar Grand Prix,SOFT,12,0.492,3
Qatar Grand Prix,SOFT,13,0.461,3
Qatar Grand Prix,SOFT,14,0.69,3
Qatar Grand Prix,SOFT,15,0.6,3
Qatar Grand Prix,SOFT,16,-0.553,3
Qatar Grand Prix,SOFT,17,0.082,3
Russian Grand Prix,HARD,2,0.0,13
Russian Grand Prix,HARD,3,0.177,13
Russian Grand Prix,HARD,4,0.086,13
Russian Grand Prix,HARD,5,0.029,13
Russian Grand Prix,HARD,6,0.1685,14
Russian Grand Prix,HARD,7,0.445,14
Russian Grand Prix,HARD,8,0.071,15
Russian Grand Prix,HARD,9,0.359,15
Russian Grand Prix,HARD,10,0.1695,16
Russian Grand Prix,HARD,11,0.0825,18
Russian Grand Prix,HARD,12,0.003,18
Russian Grand Prix,HARD,13,-0.04,19
Russian Grand Prix,HARD,14,0.134,18
Russian Grand Prix,HARD,15,0.174,17
Russian Grand Prix,HARD,16,-0.055,19
Russian Grand Prix,HARD,17,-0.084,18
Russian Grand Prix,HARD,18,0.062,17
Russian Grand Prix,HARD,19,0.012,19
Russian Grand Prix,HARD,20,0.088,19
Russian Grand Prix,HARD,21,-0.0995,18
Russian Grand Prix,HARD,22,-0.205,19
Russian Grand Prix,HARD,23,-0.312,15
Russian Grand Prix,HARD,24,-0.032,15
Russian Grand Prix,HARD,25,-0.074,14
Russian Grand Prix,HARD,26,-0.355,11
Russian Grand Prix,HARD,27,0.552,11
Russian Grand Prix,HARD,28,-0.219,10
Russian Grand Prix,HARD,29,-0.346,9
Russian Grand Prix,HARD,30,-0.342,9
Russian Grand Prix,HARD,31,0.006,9
Russian Grand Prix,HARD,32,0.235,9
Russian Grand Prix,HARD,33,0.1645,8
Russian Grand Prix,HARD,34,0.594,7
Russian Grand Prix,HARD,35,1.351,6
Russian Grand Prix,HARD,36,-0.0155,4
Russian Grand Prix,HARD,37,0.463,3
Russian Grand Prix,MEDIUM,2,0.0,9
Russian Grand Prix,MEDIUM,3,0.748,9
Russian Grand Prix,MEDIUM,4,0.184,9
Russian Grand Prix,MEDIUM,5,0.2585,10
Russian Grand Prix,MEDIUM,6,0.0,12
Russian Grand Prix,MEDIUM,7,0.0,16
Russian Grand Prix,MEDIUM,8,-0.1085,20
Russian Grand Prix,MEDIUM,9,-0.164,22
Russian Grand Prix,MEDIUM,10,-0.078,24
Russian Grand Prix,MEDIUM,11,-0.446,23
Russian Grand Prix,MEDIUM,12,-0.2,22
Russian Grand Prix,MEDIUM,13,-0.174,24
Russian Grand Prix,MEDIUM,14,-0.215,24
Russian Grand Prix,MEDIUM,15,-0.468,22
Russian Grand Prix,MEDIUM,16,-0.112,22
Russian Grand Prix,MEDIUM,17,-0.334,23
Russian Grand Prix,MEDIUM,18,-0.309,21
Russian Grand Prix,MEDIUM,19,-0.243,21
Russian Grand Prix,MEDIUM,20,-0.533,20
Russian Grand Prix,MEDIUM,21,-0.607,21
Russian Grand Prix,MEDIUM,22,-0.6745,20
Russian Grand Prix,MEDIUM,23,-0.5065,20
Russian Grand Prix,MEDIUM,24,-0.557,18
Russian Grand Prix,MEDIUM,25,-0.314,19
Russian Grand Prix,MEDIUM,26,-0.781,17
Russian Grand Prix,MEDIUM,27,-0.454,9
Russian Grand Prix,MEDIUM,28,-0.0585,8
Russian Grand Prix,MEDIUM,29,-0.312,7
Russian Grand Prix,MEDIUM,30,-0.489,5
Russian Grand Prix,MEDIUM,32,-0.402,3
Russian Grand Prix,SOFT,4,0.0,3
Russian Grand Prix,SOFT,5,-0.362,3
Russian Grand Prix,SOFT,6,0.0,5
Russian Grand Prix,SOFT,7,0.0,10
Russian Grand Prix,SOFT,8,-0.137,14
Russian Grand Prix,SOFT,9,-0.1645,22
Russian Grand Prix,SOFT,10,-0.234,21
Russian Grand Prix,SOFT,11,-0.519,22
Russian Grand Prix,SOFT,12,-0.438,22
Russian Grand Prix,SOFT,13,-0.568,22
Russian Grand Prix,SOFT,14,-0.4935,22
Russian Grand Prix,SOFT,15,-0.45,21
Russian Grand Prix,SOFT,16,-0.6045,22
Russian Grand Prix,SOFT,17,-0.665,22
Russian Grand Prix,SOFT,18,-0.823,21
Russian Grand Prix,SOFT,19,-0.785,19
Russian Grand Prix,SOFT,20,-0.858,18
Russian Grand Prix,SOFT,21,-0.918,17
Russian Grand Prix,SOFT,22,-0.755,17
Russian Grand Prix,SOFT,23,-0.83,14
Russian Grand Prix,SOFT,24,-0.875,12
Russian Grand Prix,SOFT,25,-1.294,9
Russian Grand Prix,SOFT,26,-0.991,9
Russian Grand Prix,SOFT,27,-0.429,6
Russian Grand Prix,SOFT,28,0.4405,4
Sakhir Grand Prix,HARD,2,0.0,11
Sakhir Grand Prix,HARD,3,0.0,11
Sakhir Grand Prix,HARD,4,0.218,11
Sakhir Grand Prix,HARD,5,0.205,12
Sakhir Grand Prix,HARD,6,0.34,10
Sakhir Grand Prix,HARD,7,0.553,9
Sakhir Grand Prix,HARD,8,0.698,8
Sakhir Grand Prix,HARD,9,0.763,10
Sakhir Grand Prix,HARD,10,0.6485,8
Sakhir Grand Prix,HARD,11,0.644,8
Sakhir Grand Prix,HARD,12,0.832,9
Sakhir Grand Prix,HARD,13,0.922,8
Sakhir Grand Prix,HARD,14,1.0255,6
Sakhir Grand Prix,HARD,15,1.0875,6
Sakhir Grand Prix,HARD,16,1.2465,8
Sakhir Grand Prix,HARD,17,1.298,7
Sakhir Grand Prix,HARD,18,1.39,8
Sakhir Grand Prix,HARD,19,1.583,7
Sakhir Grand Prix,HARD,20,1.515,8
Sakhir Grand Prix,HARD,21,1.3935,8
Sakhir Grand Prix,HARD,22,1.512,9
Sakhir Grand Prix,HARD,23,1.517,7
Sakhir Grand Prix,HARD,24,1.533,7
Sakhir Grand Prix,HARD,25,1.533,6
Sakhir Grand Prix,HARD,26,1.518,7
Sakhir Grand Prix,HARD,27,1.748,7
Sakhir Grand Prix,HARD,28,1.683,6
Sakhir Grand Prix,HARD,29,1.465,7
Sakhir Grand Prix,HARD,30,1.822,7
Sakhir Grand Prix,HARD,31,1.5785,6
Sakhir Grand Prix,HARD,32,1.913,6
Sakhir Grand Prix,HARD,33,1.655,5
Sakhir Grand Prix,HARD,34,1.571,5
Sakhir Grand Prix,HARD,35,2.0315,4
Sakhir Grand Prix,HARD,36,1.8575,4
Sakhir Grand Prix,HARD,37,2.129,3
Sakhir Grand Prix,HARD,38,2.011,3
Sakhir Grand Prix,MEDIUM,2,0.0,10
Sakhir Grand Prix,MEDIUM,3,0.123,9
Sakhir Grand Prix,MEDIUM,4,0.0,11
Sakhir Grand Prix,MEDIUM,5,0.336,11
Sakhir Grand Prix,MEDIUM,6,0.478,9
Sakhir Grand Prix,MEDIUM,7,0.532,8
Sakhir Grand Prix,MEDIUM,8,0.581,10
Sakhir Grand Prix,MEDIUM,9,0.589,9
Sakhir Grand Prix,MEDIUM,10,0.6015,10
Sakhir Grand Prix,MEDIUM,11,0.36,15
Sakhir Grand Prix,MEDIUM,12,0.4105,16
Sakhir Grand Prix,MEDIUM,13,0.296,13
Sakhir Grand Prix,MEDIUM,14,0.7175,16
Sakhir Grand Prix,MEDIUM,15,0.707,17
Sakhir Grand Prix,MEDIUM,16,0.8585,18
Sakhir Grand Prix,MEDIUM,17,0.831,17
Sakhir Grand Prix,MEDIUM,18,1.019,17
Sakhir Grand Prix,MEDIUM,19,1.186,17
Sakhir Grand Prix,MEDIUM,20,1.0945,18
Sakhir Grand Prix,MEDIUM,21,0.972,15
Sakhir Grand Prix,MEDIUM,22,1.097,15
Sakhir Grand Prix,MEDIUM,23,0.9385,14
Sakhir Grand Prix,MEDIUM,24,1.1965,14
Sakhir Grand Prix,MEDIUM,25,1.102,13
Sakhir Grand Prix,MEDIUM,26,0.996,13
Sakhir Grand Prix,MEDIUM,27,1.394,14
Sakhir Grand Prix,MEDIUM,28,1.208,11
Sakhir Grand Prix,MEDIUM,29,1.1005,10
Sakhir Grand Prix,MEDIUM,30,1.184,11
Sakhir Grand Prix,MEDIUM,31,1.1975,10
Sakhir Grand Prix,MEDIUM,32,1.5805,10
Sakhir Grand Prix,MEDIUM,33,1.305,9
Sakhir Grand Prix,MEDIUM,34,1.3495,6
Sakhir Grand Prix,MEDIUM,35,1.508,6
Sakhir Grand Prix,MEDIUM,36,1.453,6
Sakhir Grand Prix,MEDIUM,37,1.4485,6
Sakhir Grand Prix,MEDIUM,38,1.5175,6
Sakhir Grand Prix,MEDIUM,39,1.517,6
Sakhir Grand Prix,MEDIUM,40,1.618,6
Sakhir Grand Prix,MEDIUM,41,1.813,5
Sakhir Grand Prix,MEDIUM,42,1.775,5
Sakhir Grand Prix,MEDIUM,43,1.513,5
Sakhir Grand Prix,MEDIUM,44,1.845,5
Sakhir Grand Prix,MEDIUM,45,1.736,5
Sakhir Grand Prix,SOFT,6,0.0,3
Sakhir Grand Prix,SOFT,7,-0.0305,4
Sakhir Grand Prix,SOFT,8,0.3135,6
Sakhir Grand Prix,SOFT,9,0.1185,6
Sakhir Grand Prix,SOFT,10,-0.156,8
Sakhir Grand Prix,SOFT,11,-0.016,11
Sakhir Grand Prix,SOFT,12,-0.284,11
Sakhir Grand Prix,SOFT,13,-0.084,11
Sakhir Grand Prix,SOFT,14,-0.146,11
Sakhir Grand Prix,SOFT,15,-0.087,11
Sakhir Grand Prix,SOFT,16,0.119,11
Sakhir Grand Prix,SOFT,17,0.253,11
Sakhir Grand Prix,SOFT,18,0.344,11
Sakhir Grand Prix,SOFT,19,0.33,10
Sakhir Grand Prix,SOFT,20,0.224,11
Sakhir Grand Prix,SOFT,21,0.366,11
Sakhir Grand Prix,SOFT,22,0.4355,10
Sakhir Grand Prix,SOFT,23,0.43,11
Sakhir Grand Prix,SOFT,24,0.512,11
Sakhir Grand Prix,SOFT,25,0.571,11
Sakhir Grand Prix,SOFT,26,0.793,9
Sakhir Grand Prix,SOFT,27,0.799,9
Sakhir Grand Prix,SOFT,28,1.006,7
Sakhir Grand Prix,SOFT,29,0.9985,6
Sakhir Grand Prix,SOFT,30,1.001,5
Sakhir Grand Prix,SOFT,31,0.813,3
Saudi Arabian Grand Prix,HARD,2,0.0,10
Saudi Arabian Grand Prix,HARD,3,0.0,19
Saudi Arabian Grand Prix,HARD,4,0.0,34
Saudi Arabian Grand Prix,HARD,5,-0.377,45
Saudi Arabian Grand Prix,HARD,6,-0.854,51
Saudi Arabian Grand Prix,HARD,7,-1.045,50
Saudi Arabian Grand Prix,HARD,8,-0.978,53
Saudi Arabian Grand Prix,HARD,9,-1.072,55
Saudi Arabian Grand Prix,HARD,10,-0.7935,46
Saudi Arabian Grand Prix,HARD,11,-1.092,47
Saudi Arabian Grand Prix,HARD,12,-1.277,51
Saudi Arabian Grand Prix,HARD,13,-1.0575,48
Saudi Arabian Grand Prix,HARD,14,-0.812,45
Saudi Arabian Grand Prix,HARD,15,-1.0525,48
Saudi Arabian Grand Prix,HARD,16,-1.0715,48
Saudi Arabian Grand Prix,HARD,17,-1.104,41
Saudi Arabian Grand Prix,HARD,18,-1.365,41
Saudi Arabian Grand Prix,HARD,19,-1.503,37
Saudi Arabian Grand Prix,HARD,20,-1.3155,40
Saudi Arabian Grand Prix,HARD,21,-0.911,40
Saudi Arabian Grand Prix,HARD,22,-0.635,33
Saudi Arabian Grand Prix,HARD,23,-0.6235,36
Saudi Arabian Grand Prix,HARD,24,-0.965,37
Saudi Arabian Grand Prix,HARD,25,-0.668,42
Saudi Arabian Grand Prix,HARD,26,-1.34,46
Saudi Arabian Grand Prix,HARD,27,-0.973,45
Saudi Arabian Grand Prix,HARD,28,-1.292,45
Saudi Arabian Grand Prix,HARD,29,-1.143,44
Saudi Arabian Grand Prix,HARD,30,-1.104,43
Saudi Arabian Grand Prix,HARD,31,-1.3475,44
Saudi Arabian Grand Prix,HARD,32,-1.323,45
Saudi Arabian Grand Prix,HARD,33,-1.2985,42
Saudi Arabian Grand Prix,HARD,34,-0.958,38
Saudi Arabian Grand Prix,HARD,35,-1.378,29
Saudi Arabian Grand Prix,HARD,36,-0.784,25
Saudi Arabian Grand Prix,HARD,37,-0.761,25
Saudi Arabian Grand Prix,HARD,38,-1.148,20
Saudi Arabian Grand Prix,HARD,39,-0.96,18
Saudi Arabian Grand Prix,HARD,40,-0.902,17
Saudi Arabian Grand Prix,HARD,41,-0.6515,14
Saudi Arabian Grand Prix,HARD,42,-0.636,15
Saudi Arabian Grand Prix,HARD,43,-0.985,10
Saudi Arabian Grand Prix,HARD,44,-1.599,3
Saudi Arabian Grand Prix,MEDIUM,2,0.0,34
Saudi Arabian Grand Prix,MEDIUM,3,-0.296,48
Saudi Arabian Grand Prix,MEDIUM,4,-0.398,51
Saudi Arabian Grand Prix,MEDIUM,5,-0.511,53
Saudi Arabian Grand Prix,MEDIUM,6,-0.525,58
Saudi Arabian Grand Prix,MEDIUM,7,-0.5865,46
Saudi Arabian Grand Prix,MEDIUM,8,-0.402,38
Saudi Arabian Grand Prix,MEDIUM,9,-0.195,45
Saudi Arabian Grand Prix,MEDIUM,10,-0.393,49
Saudi Arabian Grand Prix,MEDIUM,11,-0.501,45
Saudi Arabian Grand Prix,MEDIUM,12,-0.274,46
Saudi Arabian Grand Prix,MEDIUM,13,-0.369,45
Saudi Arabian Grand Prix,MEDIUM,14,-0.252,38
Saudi Arabian Grand Prix,MEDIUM,15,-0.3105,36
Saudi Arabian Grand Prix,MEDIUM,16,-0.6465,24
Saudi Arabian Grand Prix,MEDIUM,17,-0.807,15
Saudi Arabian Grand Prix,MEDIUM,18,-0.818,14
Saudi Arabian Grand Prix,MEDIUM,19,-0.974,13
Saudi Arabian Grand Prix,MEDIUM,20,-0.917,11
Saudi Arabian Grand Prix,MEDIUM,21,-0.4035,12
Saudi Arabian Grand Prix,MEDIUM,22,-0.731,13
Saudi Arabian Grand Prix,MEDIUM,23,-0.5125,14
Saudi Arabian Grand Prix,MEDIUM,24,-0.5495,14
Saudi Arabian Grand Prix,MEDIUM,25,-0.748,13
Saudi Arabian Grand Prix,MEDIUM,26,-0.885,15
Saudi Arabian Grand Prix,MEDIUM,27,-0.695,14
Saudi Arabian Grand Prix,MEDIUM,28,-1.101,15
Saudi Arabian Grand Prix,MEDIUM,29,-0.762,13
Saudi Arabian Grand Prix,MEDIUM,30,-1.44,13
Saudi Arabian Grand Prix,MEDIUM,31,-1.021,13
Saudi Arabian Grand Prix,MEDIUM,32,-1.2335,12
Saudi Arabian Grand Prix,MEDIUM,33,-0.405,8
Saudi Arabian Grand Prix,MEDIUM,34,-0.2555,8
Saudi Arabian Grand Prix,MEDIUM,35,-0.0495,8
Saudi Arabian Grand Prix,MEDIUM,36,-0.3015,4
Saudi Arabian Grand Prix,MEDIUM,37,-1.06,3
Saudi Arabian Grand Prix,SOFT,2,0.0,5
Saudi Arabian Grand Prix,SOFT,3,-0.217,5
Saudi Arabian Grand Prix,SOFT,4,-0.07,5
Saudi Arabian Grand Prix,SOFT,5,0.0035,6
Saudi Arabian Grand Prix,SOFT,6,0.354,7
Saudi Arabian Grand Prix,SOFT,7,0.115,6
Saudi Arabian Grand Prix,SOFT,8,0.0,7
Saudi Arabian Grand Prix,SOFT,9,0.2095,6
Saudi Arabian Grand Prix,SOFT,10,0.206,6
Saudi Arabian Grand Prix,SOFT,11,0.342,6
Saudi Arabian Grand Prix,SOFT,12,0.4525,6
Saudi Arabian Grand Prix,SOFT,13,0.437,6
Saudi Arabian Grand Prix,SOFT,14,0.459,5
Saudi Arabian Grand Prix,SOFT,15,0.816,3
Singapore Grand Prix,HARD,2,0.0,31
Singapore Grand Prix,HARD,3,0.0,35
Singapore Grand Prix,HARD,4,0.0,42
Singapore Grand Prix,HARD,5,0.0,48
Singapore Grand Prix,HARD,6,0.165,46
Singapore Grand Prix,HARD,7,0.011,47
Singapore Grand Prix,HARD,8,0.331,49
Singapore Grand Prix,HARD,9,0.398,51
Singapore Grand Prix,HARD,10,-0.208,46
Singapore Grand Prix,HARD,11,0.03,47
Singapore Grand Prix,HARD,12,0.0245,48
Singapore Grand Prix,HARD,13,0.1755,46
Singapore Grand Prix,HARD,14,0.099,44
Singapore Grand Prix,HARD,15,0.537,46
Singapore Grand Prix,HARD,16,0.19,41
Singapore Grand Prix,HARD,17,0.298,37
Singapore Grand Prix,HARD,18,0.298,37
Singapore Grand Prix,HARD,19,0.496,35
Singapore Grand Prix,HARD,20,0.681,37
Singapore Grand Prix,HARD,21,0.578,39
Singapore Grand Prix,HARD,22,0.757,41
Singapore Grand Prix,HARD,23,0.9345,34
Singapore Grand Prix,HARD,24,1.245,25
Singapore Grand Prix,HARD,25,1.0215,24
Singapore Grand Prix,HARD,26,0.832,30
Singapore Grand Prix,HARD,27,0.9945,28
Singapore Grand Prix,HARD,28,1.1105,30
Singapore Grand Prix,HARD,29,1.0295,32
Singapore Grand Prix,HARD,30,0.915,28
Singapore Grand Prix,HARD,31,1.2815,28
Singapore Grand Prix,HARD,32,1.1435,28
Singapore Grand Prix,HARD,33,1.4205,24
Singapore Grand Prix,HARD,34,1.311,22
Singapore Grand Prix,HARD,35,1.124,21
Singapore Grand Prix,HARD,36,1.434,19
Singapore Grand Prix,HARD,37,1.384,17
Singapore Grand Prix,HARD,38,1.323,18
Singapore Grand Prix,HARD,39,1.797,17
Singapore Grand Prix,HARD,40,1.483,12
Singapore Grand Prix,HARD,41,1.721,13
Singapore Grand Prix,HARD,42,2.455,10
Singapore Grand Prix,MEDIUM,2,0.0,35
Singapore Grand Prix,MEDIUM,3,-0.099,37
Singapore Grand Prix,MEDIUM,4,-0.309,37
Singapore Grand Prix,MEDIUM,5,-0.546,40
Singapore Grand Prix,MEDIUM,6,-0.313,43
Singapore Grand Prix,MEDIUM,7,-0.464,44
