GP,Circuit,PitstopT,Driver,Year
Belgian Grand Prix,Belgian Grand Prix,,TSU,2021
Belgian Grand Prix,Belgian Grand Prix,,MSC,2021
Belgian Grand Prix,Belgian Grand Prix,,MAZ,2021
Belgian Grand Prix,Belgian Grand Prix,,RAI,2021
Belgian Grand Prix,Belgian Grand Prix,,PER,2021
Belgian Grand Prix,Belgian Grand Prix,,STR,2021
Dutch Grand Prix,Dutch Grand Prix,19.198,VER,2021
Dutch Grand Prix,Dutch Grand Prix,18.579,VER,2021
Dutch Grand Prix,Dutch Grand Prix,19.88,HAM,2021
Dutch Grand Prix,Dutch Grand Prix,18.637,HAM,2021
Dutch Grand Prix,Dutch Grand Prix,19.0,HAM,2021
Dutch Grand Prix,Dutch Grand Prix,18.989,BOT,2021
Dutch Grand Prix,Dutch Grand Prix,21.826,BOT,2021
Dutch Grand Prix,Dutch Grand Prix,19.247,GAS,2021
Dutch Grand Prix,Dutch Grand Prix,19.583,LEC,2021
Dutch Grand Prix,Dutch Grand Prix,19.026,ALO,2021
Dutch Grand Prix,Dutch Grand Prix,20.001,SAI,2021
Dutch Grand Prix,Dutch Grand Prix,19.064,PER,2021
Dutch Grand Prix,Dutch Grand Prix,18.59,PER,2021
Dutch Grand Prix,Dutch Grand Prix,18.888,OCO,2021
Dutch Grand Prix,Dutch Grand Prix,20.433,NOR,2021
Dutch Grand Prix,Dutch Grand Prix,21.864,RIC,2021
Dutch Grand Prix,Dutch Grand Prix,19.406,STR,2021
Dutch Grand Prix,Dutch Grand Prix,18.638,VET,2021
Dutch Grand Prix,Dutch Grand Prix,17.074,VET,2021
Dutch Grand Prix,Dutch Grand Prix,18.8,GIO,2021
Dutch Grand Prix,Dutch Grand Prix,20.141,GIO,2021
Dutch Grand Prix,Dutch Grand Prix,19.839,KUB,2021
Dutch Grand Prix,Dutch Grand Prix,20.598,LAT,2021
Dutch Grand Prix,Dutch Grand Prix,18.287,RUS,2021
Dutch Grand Prix,Dutch Grand Prix,25.206,RUS,2021
Dutch Grand Prix,Dutch Grand Prix,,RUS,2021
Dutch Grand Prix,Dutch Grand Prix,35.596,MSC,2021
Dutch Grand Prix,Dutch Grand Prix,24.474,MSC,2021
Dutch Grand Prix,Dutch Grand Prix,19.854,TSU,2021
Dutch Grand Prix,Dutch Grand Prix,,TSU,2021
Dutch Grand Prix,Dutch Grand Prix,19.674,MAZ,2021
Dutch Grand Prix,Dutch Grand Prix,,MAZ,2021
Italian Grand Prix,Italian Grand Prix,,GAS,2021
Italian Grand Prix,Italian Grand Prix,23.884,PER,2021
Italian Grand Prix,Italian Grand Prix,24.771,ALO,2021
Italian Grand Prix,Italian Grand Prix,24.919,LEC,2021
Italian Grand Prix,Italian Grand Prix,24.502,STR,2021
Italian Grand Prix,Italian Grand Prix,23.787,RIC,2021
Italian Grand Prix,Italian Grand Prix,30.349,OCO,2021
Italian Grand Prix,Italian Grand Prix,32.475,VER,2021
Italian Grand Prix,Italian Grand Prix,24.123,NOR,2021
Italian Grand Prix,Italian Grand Prix,,HAM,2021
Italian Grand Prix,Italian Grand Prix,24.679,MSC,2021
Italian Grand Prix,Italian Grand Prix,24.853,VET,2021
Italian Grand Prix,Italian Grand Prix,25.616,VET,2021
Italian Grand Prix,Italian Grand Prix,24.298,SAI,2021
Italian Grand Prix,Italian Grand Prix,24.183,LAT,2021
Italian Grand Prix,Italian Grand Prix,24.159,RUS,2021
Italian Grand Prix,Italian Grand Prix,24.968,BOT,2021
Italian Grand Prix,Italian Grand Prix,29.133,KUB,2021
Italian Grand Prix,Italian Grand Prix,24.933,MAZ,2021
Italian Grand Prix,Italian Grand Prix,24.877,MAZ,2021
Italian Grand Prix,Italian Grand Prix,30.906,MAZ,2021
Italian Grand Prix,Italian Grand Prix,37.185,GIO,2021
Italian Grand Prix,Italian Grand Prix,30.578,GIO,2021
United States Grand Prix,United States Grand Prix,23.716,VER,2021
United States Grand Prix,United States Grand Prix,23.973,VER,2021
United States Grand Prix,United States Grand Prix,24.488,HAM,2021
United States Grand Prix,United States Grand Prix,23.605,HAM,2021
United States Grand Prix,United States Grand Prix,25.001,PER,2021
United States Grand Prix,United States Grand Prix,23.607,PER,2021
United States Grand Prix,United States Grand Prix,24.111,LEC,2021
United States Grand Prix,United States Grand Prix,23.811,LEC,2021
United States Grand Prix,United States Grand Prix,24.211,RIC,2021
United States Grand Prix,United States Grand Prix,24.103,RIC,2021
United States Grand Prix,United States Grand Prix,24.541,BOT,2021
United States Grand Prix,United States Grand Prix,23.632,BOT,2021
United States Grand Prix,United States Grand Prix,23.383,SAI,2021
United States Grand Prix,United States Grand Prix,26.88,SAI,2021
United States Grand Prix,United States Grand Prix,24.402,NOR,2021
United States Grand Prix,United States Grand Prix,25.526,NOR,2021
United States Grand Prix,United States Grand Prix,23.888,TSU,2021
United States Grand Prix,United States Grand Prix,23.454,TSU,2021
United States Grand Prix,United States Grand Prix,25.014,VET,2021
United States Grand Prix,United States Grand Prix,23.876,VET,2021
United States Grand Prix,United States Grand Prix,23.995,GIO,2021
United States Grand Prix,United States Grand Prix,23.49,GIO,2021
United States Grand Prix,United States Grand Prix,23.818,STR,2021
United States Grand Prix,United States Grand Prix,23.473,STR,2021
United States Grand Prix,United States Grand Prix,24.181,RAI,2021
United States Grand Prix,United States Grand Prix,24.062,RAI,2021
United States Grand Prix,United States Grand Prix,23.537,RUS,2021
United States Grand Prix,United States Grand Prix,26.318,RUS,2021
United States Grand Prix,United States Grand Prix,32.566,LAT,2021
United States Grand Prix,United States Grand Prix,23.649,LAT,2021
United States Grand Prix,United States Grand Prix,24.289,MSC,2021
United States Grand Prix,United States Grand Prix,24.225,MSC,2021
United States Grand Prix,United States Grand Prix,30.7,MAZ,2021
United States Grand Prix,United States Grand Prix,24.611,MAZ,2021
United States Grand Prix,United States Grand Prix,24.173,MAZ,2021
United States Grand Prix,United States Grand Prix,23.633,ALO,2021
United States Grand Prix,United States Grand Prix,23.528,ALO,2021
United States Grand Prix,United States Grand Prix,23.301,ALO,2021
United States Grand Prix,United States Grand Prix,,ALO,2021
United States Grand Prix,United States Grand Prix,40.75,OCO,2021
United States Grand Prix,United States Grand Prix,23.974,OCO,2021
United States Grand Prix,United States Grand Prix,,OCO,2021
United States Grand Prix,United States Grand Prix,28.247,GAS,2021
United States Grand Prix,United States Grand Prix,,GAS,2021
