Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
HAM,Mercedes,23.0,122.954,2.0,MEDIUM,1.0,4.0,2019,Belgian Grand Prix,44,0.5227272727272727,,,,,,,,,,,
VET,Ferrari,16.0,122.264,2.0,MEDIUM,1.0,5.0,2019,Belgian Grand Prix,44,0.36363636363636365,,,,,,,,,,,
VET,Ferrari,34.0,122.166,3.0,SOFT,5.0,4.0,2019,Belgian Grand Prix,44,0.7727272727272727,,,,,,,,,,,
RUS,Williams,31.0,123.248,2.0,SOFT,1.0,18.0,2019,Belgian Grand Prix,44,0.7045454545454546,,,,,,,,,,,
RAI,Alfa Romeo Racing,32.0,129.169,4.0,SOFT,6.0,18.0,2019,Belgian Grand Prix,44,0.7272727272727273,,,,,,,,,,,
BOT,Mercedes,24.0,121.594,2.0,MEDIUM,1.0,4.0,2019,Belgian Grand Prix,44,0.5454545454545454,,,,,,,,,,,
GRO,Haas F1 Team,17.0,125.056,2.0,MEDIUM,1.0,11.0,2019,Belgian Grand Prix,44,0.38636363636363635,,,,,,,,,,,
KUB,Williams,1.0,163.21,1.0,MEDIUM,1.0,16.0,2019,Belgian Grand Prix,44,0.022727272727272728,,,,,,,,,,,
KUB,Williams,32.0,126.038,2.0,SOFT,1.0,17.0,2019,Belgian Grand Prix,44,0.7272727272727273,,,,,,,,,,,
GIO,Alfa Romeo Racing,30.0,122.709,2.0,SOFT,1.0,14.0,2019,Belgian Grand Prix,44,0.6818181818181818,,,,,,,,,,,
GAS,Toro Rosso,29.0,105.04,2.0,SOFT,1.0,12.0,2019,Italian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
PER,Racing Point,29.0,105.59,2.0,SOFT,1.0,10.0,2019,Italian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
LEC,Ferrari,21.0,104.216,2.0,HARD,1.0,4.0,2019,Italian Grand Prix,53,0.39622641509433965,,,,,,,,,,,
STR,Racing Point,16.0,101.299,2.0,SOFT,19.0,17.0,2019,Italian Grand Prix,53,0.3018867924528302,,,,,,,,,,,
STR,Racing Point,23.0,105.004,3.0,MEDIUM,1.0,17.0,2019,Italian Grand Prix,53,0.4339622641509434,,,,,,,,,,,
MAG,Haas F1 Team,21.0,105.229,2.0,MEDIUM,1.0,16.0,2019,Italian Grand Prix,53,0.39622641509433965,,,,,,,,,,,
MAG,Haas F1 Team,35.0,105.637,3.0,SOFT,4.0,15.0,2019,Italian Grand Prix,53,0.660377358490566,,,,,,,,,,,
ALB,Red Bull Racing,27.0,110.751,2.0,MEDIUM,1.0,12.0,2019,Italian Grand Prix,53,0.5094339622641509,,,,,,,,,,,
KVY,Toro Rosso,29.0,106.391,2.0,SOFT,1.0,6.0,2019,Italian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
HUL,Renault,30.0,120.021,2.0,MEDIUM,1.0,5.0,2019,Italian Grand Prix,53,0.5660377358490566,,,,,,,,,,,
RIC,Renault,31.0,116.981,2.0,MEDIUM,1.0,4.0,2019,Italian Grand Prix,53,0.5849056603773585,,,,,,,,,,,
VER,Red Bull Racing,2.0,111.395,2.0,SOFT,1.0,20.0,2019,Italian Grand Prix,53,0.03773584905660377,,,,,,,,,,,
VER,Red Bull Racing,28.0,121.95,3.0,MEDIUM,2.0,13.0,2019,Italian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
NOR,McLaren,24.0,105.832,2.0,HARD,1.0,14.0,2019,Italian Grand Prix,53,0.4528301886792453,,,,,,,,,,,
HAM,Mercedes,20.0,103.243,2.0,MEDIUM,1.0,5.0,2019,Italian Grand Prix,53,0.37735849056603776,,,,,,,,,,,
